Participant_Name_PrimaryOrganization,Participant_Name_SubordinateOrganization,Participant_ID,Org_Level,Type,Sub_Type,City,ZIP_Code,Delaying_Exchange_until_2026,Request_for_Information,Information_Delivery,Requests_for_Notifications_of_ADT_Events,Own_Technology_URL,Own_Technology_Email,Own_Technology_Phone,Date_DSA_Terminated,Date_Operations_Ceased
18 Reasons,none identified,DXF002426,Primary,Community-Based Organizations,Other community-based service provider,San Francisco,94110,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
1Heart Care Giver Services La Jolla,none identified,DXF004424,Primary,Community-Based Organizations,Other community-based service provider,San Diego,92111,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
211 LA,none identified,DXF003327,Primary,Community-Based Organizations,Other community-based service provider,San Gabriel,91776,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"24Hr HomeCare, LLC",none identified,DXF003692,Primary,Ancillary Care,Other ancillary care provider,El Segunda,90245,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Atiga Family Practice,none identified,DXF001369,Primary,Ambulatory Care Settings,Physician practice,Murrieta,92562,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
360 Wellness Solutions,none identified,DXF002990,Primary,Intermediaries,Health Information Exchange Intermediary Organization (HIO),Rancho Mirage,92270,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
360 Wellness Solutions,"360 Wellness Solutions Physical Therapy & Rehabilitation Services, Professional Corporation",DXF002991,Sub,Ambulatory Care Settings,Mental health clinic,Rancho Mirage,92270,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
4Cs Sonoma County,none identified,DXF003930,Primary,Community-Based Organizations,Other community-based service provider,Santa Rosa,95401,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"980 E. Foothill Blvd, Suite 101, Upland, CA 91786",none identified,DXF001818,Primary,Ambulatory Care Settings,Physician practice,Upland,91786,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
A GRACE SUBACUTE & SKILLED CARE,none identified,DXF005136,Primary,Subacute Care Facility,Skilled nursing facility,San Jose,95128,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
A Senior connection,none identified,DXF004411,Primary,Community-Based Organizations,Other community-based service provider,Sacramento,95841,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
A TU SALUD A MEDICAL CORPORATION,none identified,DXF002645,Primary,Ambulatory Care Settings,Physician practice,MONTCLAIR,91763,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
A woman for women medical group Inc,none identified,DXF003322,Primary,Ambulatory Care Settings,Physician practice,GILROY,95020,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"A. Elaine Ashby, MD, Inc.",none identified,DXF000209,Primary,Ambulatory Care Settings,not selected,Lafayette,94549,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
AAA Comprehensive Healthcare Inc.,none identified,DXF004413,Primary,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),North Hollywood,91605,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
ABA Enhancement LLC,none identified,DXF003721,Primary,Acute Care Settings,Other acute care setting,Fountain Valley,92708,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Abayomi A. Odubela, MD, APC",none identified,DXF002058,Primary,Ambulatory Care Settings,Physician practice,Murrieta,92562,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
ABC CHILDREN'S CLINIC,none identified,DXF004576,Primary,Ambulatory Care Settings,Physician practice,Foothill Ranch,92610,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Abdul W. Khan, MD",none identified,DXF004291,Primary,Ambulatory Care Settings,Physician practice,Manteca,95336,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
ABID HUSSAIN MD,none identified,DXF001666,Primary,Community-Based Organizations,Other community-based service provider,Hemet,92543,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
ABM Medical Clinic Inc,none identified,DXF001699,Primary,Ambulatory Care Settings,Physician practice,Woodland Hills,91364,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Abrazar, Inc.",none identified,DXF003584,Primary,Community-Based Organizations,Other community-based service provider,Westminster,92683,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Acacia Family Medical Group,none identified,DXF003372,Primary,Ambulatory Care Settings,Physician practice,Salinas,93907,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
ACASA Senior Care,none identified,DXF004392,Primary,Community-Based Organizations,Other community-based service provider,Chino Hills,91709,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
ACASA Senior Care,SMR Healthcare Management,DXF004393,Sub,Community-Based Organizations,Continuum of Care organization (CoC),Chino Hills,91709,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
ACC Care Center,none identified,DXF000260,Primary,Subacute Care Facility,not selected,Sacramento,95831,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Access TLC home health and hospice,none identified,DXF002441,Primary,Community-Based Organizations,Other community-based service provider,Moorpark,93021,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Access TLC Home Health Care,none identified,DXF002686,Primary,Ancillary Care,Other ancillary care provider,Moorpark,93021,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Accumen TMS Center,none identified,DXF004092,Primary,Ambulatory Care Settings,Mental health clinic,Downey,90242,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
ace care pharmacy management and consulting,none identified,DXF003355,Primary,Pharmacy,not selected,tulare,93274,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
ACES 2020 LLC,none identified,DXF004028,Primary,Community-Based Organizations,Other community-based service provider,San Diego,92163,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
ACHILLES PROSTHETICS AND ORTHOTI,none identified,DXF005073,Primary,Ancillary Care,Other ancillary care provider,Bakersfield,93301,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
ACHILLES PROSTHETICS AND ORTHOTI,"CHANNEL ISLANDS PROSTHETICS AND ORTHOTICS, INC",DXF005074,Sub,Ancillary Care,Other ancillary care provider,ventura,93003,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
ACHILLES PROSTHETICS AND ORTHOTI,R AND J PROSTHETICS,DXF005075,Sub,Ancillary Care,Other ancillary care provider,ventura,93003,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
ACMG,none identified,DXF000334,Primary,Ambulatory Care Settings,not selected,Oakland,94610,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
ACMG,TSC Medical Director Group,DXF000335,Sub,Ambulatory Care Settings,not selected,Oakland,94610,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Acuprogroup,inc.",none identified,DXF000096,Primary,Ancillary Care,Other ancillary care provider,Montebello,90640,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
adams medical group a professional corporation,none identified,DXF000155,Primary,Ambulatory Care Settings,not selected,turlock,95382,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Adria Brofman, M.D.",none identified,DXF000681,Primary,Ambulatory Care Settings,Physician practice,Pasadena,91101,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
adrian tripp md medical corporation,none identified,DXF002121,Primary,Ambulatory Care Settings,Physician practice,victorville,92394,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Advanced Family Medical Group,none identified,DXF001366,Primary,Ambulatory Care Settings,Physician practice,Paramount,90723,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Advanced Healthhcare Administrators,none identified,DXF001307,Primary,Community-Based Organizations,Other community-based service provider,Bell,90201,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
